Metro Area Name,Metro Area Main City,Startup Rank,Code
Austin-Round Rock-San Marcos,Austin,1,TX
Miami-Fort Lauderdale-Pompano Beach,Miami,2,FL
San Jose-Sunnyvale-Santa Clara,SanJose,3,CA
Los Angeles-Long Beach-Santa Ana,LosAngeles,4,CA
Denver-Aurora-Broomfield,Denver,5,CO
San Francisco-Oakland-Fremont,SanFrancisco,6,CA
New York-Northern New Jersey-Long Island,NewYork,7,NY
Houston-Sugar Land-Baytown,Houston,8,TX
San Diego-Carlsbad-San Marcos,SanDiego,9,CA
San Antonio-New Braunfels,SanAntonio,10,TX
